id,name,category,region,batch,projectCode,protectUnits,tags,popularity,experienceValue,intro,detailUrl,manualVector
national-0406,塔吉克族民歌,传统音乐,新疆维吾尔自治区塔什库尔干塔吉克自治县,第三批,Ⅱ—149,,传统音乐；故事叙事；地方记忆；声音艺术；现场聆听,75,70,塔吉克族民歌是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为新疆维吾尔自治区塔什库尔干塔吉克自治县。,,
national-0407,茅山号子,传统音乐,江苏省兴化市,第三批,Ⅱ—150,,传统音乐,75,70,茅山号子是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为江苏省兴化市。,,
national-0408,弦索乐（菏泽弦索乐）,传统音乐,山东省菏泽市,第三批,Ⅱ—151,,传统音乐；菏泽弦索乐；声音艺术；现场聆听,75,70,弦索乐（菏泽弦索乐）是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为山东省菏泽市。,,
national-0409,纳西族白沙细乐,传统音乐,云南省丽江市古城区,第三批,Ⅱ—152,,传统音乐；声音艺术；现场聆听,75,70,纳西族白沙细乐是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为云南省丽江市古城区。,,
national-0410,伽倻琴艺术,传统音乐,吉林省延吉市,第三批,Ⅱ—153,,传统音乐；声音艺术；现场聆听,75,70,伽倻琴艺术是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为吉林省延吉市。,,
national-0411,京族独弦琴艺术,传统音乐,广西壮族自治区东兴市,第三批,Ⅱ—154,,传统音乐；声音艺术；现场聆听,75,70,京族独弦琴艺术是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为广西壮族自治区东兴市。,,
national-0412,哈萨克族库布孜,传统音乐,新疆维吾尔自治区伊犁哈萨克自治州,第三批,Ⅱ—155,,传统音乐,75,70,哈萨克族库布孜是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为新疆维吾尔自治区伊犁哈萨克自治州。,,
national-0413,土家族民歌,传统音乐,湖南省湘西土家族苗族自治州，贵州省沿河土家族自治县,第四批,Ⅱ—156,,传统音乐；故事叙事；地方记忆；声音艺术；现场聆听,73,70,土家族民歌是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为湖南省湘西土家族苗族自治州，贵州省沿河土家族自治县。,,
national-0414,渔歌（洞庭渔歌、汕尾渔歌）,传统音乐,湖南省岳阳市，广东省汕尾市,第四批,Ⅱ—157,,传统音乐；洞庭渔歌；汕尾渔歌；故事叙事；地方记忆；声音艺术；现场聆听,73,70,渔歌（洞庭渔歌、汕尾渔歌）是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为湖南省岳阳市，广东省汕尾市。,,
national-0415,渔歌（嵊泗渔歌）,传统音乐,浙江省舟山市嵊泗县,第五批扩展项目,Ⅱ—157,,传统音乐；嵊泗渔歌；故事叙事；地方记忆；声音艺术；现场聆听,72,70,渔歌（嵊泗渔歌）是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为浙江省舟山市嵊泗县。,,
